fixture_id,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1552117,Neerdeland,2026,2026-08-07,Cambuur,Excelsior,0,4,0,3,A
1552118,Neerdeland,2026,2026-08-08,NEC Nijmegen,Telstar,1,2,0,2,A
1552119,Neerdeland,2026,2026-08-08,GO Ahead Eagles,Willem II,4,1,1,1,H
1552120,Neerdeland,2026,2026-08-08,PSV Eindhoven,Fortuna Sittard,2,2,0,1,D
1552121,Neerdeland,2026,2026-08-08,AZ Alkmaar,ADO Den Haag,2,0,0,0,H
1552122,Neerdeland,2026,2026-08-09,Sparta Rotterdam,Feyenoord,0,1,0,1,A
1552124,Neerdeland,2026,2026-08-09,PEC Zwolle,Ajax,0,2,0,0,A
1552123,Neerdeland,2026,2026-08-09,Groningen,Utrecht,2,1,1,0,H
1552125,Neerdeland,2026,2026-08-09,Heerenveen,Twente,1,0,0,0,H
1552126,Neerdeland,2026,2026-08-14,Telstar,Sparta Rotterdam,1,3,0,1,A
1552127,Neerdeland,2026,2026-08-15,Willem II,NEC Nijmegen,1,4,0,1,A
1552128,Neerdeland,2026,2026-08-15,Utrecht,AZ Alkmaar,1,4,0,1,A
1552129,Neerdeland,2026,2026-08-15,Excelsior,PSV Eindhoven,1,2,0,1,A
1552130,Neerdeland,2026,2026-08-15,Fortuna Sittard,Cambuur,3,1,2,1,H
1552131,Neerdeland,2026,2026-08-16,ADO Den Haag,Groningen,1,4,0,3,A
1552132,Neerdeland,2026,2026-08-16,Feyenoord,GO Ahead Eagles,2,2,2,0,D
1552133,Neerdeland,2026,2026-08-16,Twente,PEC Zwolle,3,1,1,1,H
1552134,Neerdeland,2026,2026-08-16,Ajax,Heerenveen,2,2,2,1,D
1552135,Neerdeland,2026,2026-08-22,Fortuna Sittard,AZ Alkmaar,0,2,0,0,A
1552137,Neerdeland,2026,2026-08-22,Sparta Rotterdam,Utrecht,3,3,1,1,D
1552138,Neerdeland,2026,2026-08-22,Heerenveen,PEC Zwolle,0,2,0,0,A
1552139,Neerdeland,2026,2026-08-23,GO Ahead Eagles,ADO Den Haag,3,1,1,0,H
1552140,Neerdeland,2026,2026-08-23,PSV Eindhoven,Groningen,5,1,3,1,H
1552141,Neerdeland,2026,2026-08-23,Cambuur,Feyenoord,2,5,0,4,A
1552144,Neerdeland,2026,2026-08-28,Groningen,Fortuna Sittard,2,3,1,2,A
1552145,Neerdeland,2026,2026-08-29,Excelsior,Sparta Rotterdam,2,1,1,0,H
1552146,Neerdeland,2026,2026-08-29,AZ Alkmaar,GO Ahead Eagles,5,2,2,1,H
1552147,Neerdeland,2026,2026-08-29,PEC Zwolle,NEC Nijmegen,1,3,1,2,A
1552148,Neerdeland,2026,2026-08-30,Utrecht,PSV Eindhoven,1,6,1,2,A
1552150,Neerdeland,2026,2026-08-30,Willem II,Heerenveen,2,2,0,0,D
1552149,Neerdeland,2026,2026-08-30,Feyenoord,ADO Den Haag,2,2,0,1,D
1552151,Neerdeland,2026,2026-08-30,Telstar,Ajax,0,4,0,1,A
1552152,Neerdeland,2026,2026-08-30,Cambuur,Twente,1,4,0,2,A
1552153,Neerdeland,2026,2026-09-04,Sparta Rotterdam,PEC Zwolle,2,2,1,1,D
1552154,Neerdeland,2026,2026-09-05,NEC Nijmegen,Feyenoord,1,3,0,0,A
1552156,Neerdeland,2026,2026-09-05,Ajax,PSV Eindhoven,1,3,1,2,A
1552157,Neerdeland,2026,2026-09-05,Willem II,Excelsior,0,3,0,2,A
1552158,Neerdeland,2026,2026-09-06,Groningen,Twente,2,2,2,2,D
1552159,Neerdeland,2026,2026-09-06,Heerenveen,AZ Alkmaar,2,3,2,1,A
1552160,Neerdeland,2026,2026-09-06,Telstar,Cambuur,2,2,0,0,D
1552161,Neerdeland,2026,2026-09-06,ADO Den Haag,Fortuna Sittard,2,3,0,2,A
1552155,Neerdeland,2026,2026-09-08,Utrecht,GO Ahead Eagles,3,3,0,1,D
1552136,Neerdeland,2026,2026-09-08,NEC Nijmegen,Excelsior,2,2,1,1,D
1552142,Neerdeland,2026,2026-09-09,Twente,Telstar,1,0,0,0,H
1552162,Neerdeland,2026,2026-09-11,AZ Alkmaar,Willem II,1,1,1,0,D
1552163,Neerdeland,2026,2026-09-12,Twente,ADO Den Haag,2,0,0,0,H
1552164,Neerdeland,2026,2026-09-12,GO Ahead Eagles,Groningen,1,1,0,1,D
1552165,Neerdeland,2026,2026-09-12,Fortuna Sittard,Ajax,1,5,0,1,A
1552168,Neerdeland,2026,2026-09-12,Cambuur,NEC Nijmegen,3,0,1,0,H
1552167,Neerdeland,2026,2026-09-13,Excelsior,Utrecht,1,2,0,1,A
1552166,Neerdeland,2026,2026-09-13,Heerenveen,Telstar,0,0,0,0,D
1552170,Neerdeland,2026,2026-09-13,PEC Zwolle,Feyenoord,0,7,0,3,A
1552169,Neerdeland,2026,2026-09-13,PSV Eindhoven,Sparta Rotterdam,4,1,2,1,H
1552143,Neerdeland,2026,2026-09-15,Ajax,Willem II,5,1,2,0,H
