fixture_id,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1575140,Bundesliga,2026,2026-08-28,Bayern München,VfB Stuttgart,5,1,1,0,H
1575146,Bundesliga,2026,2026-08-29,FSV Mainz 05,SC Paderborn 07,0,0,0,0,D
1575147,Bundesliga,2026,2026-08-29,RB Leipzig,Borussia Mönchengladbach,3,0,1,0,H
1575148,Bundesliga,2026,2026-08-29,Union Berlin,Eintracht Frankfurt,3,3,1,2,D
1575144,Bundesliga,2026,2026-08-29,1. FC Köln,1899 Hoffenheim,3,2,0,1,H
1575143,Bundesliga,2026,2026-08-29,SV Elversberg,Bayer Leverkusen,3,2,2,0,H
1575142,Bundesliga,2026,2026-08-29,Borussia Dortmund,Hamburger SV,2,0,2,0,H
1575145,Bundesliga,2026,2026-08-30,SC Freiburg,Werder Bremen,4,1,2,0,H
1575141,Bundesliga,2026,2026-08-30,FC Augsburg,FC Schalke 04,3,0,1,0,H
1575149,Bundesliga,2026,2026-09-04,VfB Stuttgart,1. FC Köln,4,1,1,0,H
1575155,Bundesliga,2026,2026-09-05,Werder Bremen,RB Leipzig,3,1,1,0,H
1575153,Bundesliga,2026,2026-09-05,Borussia Mönchengladbach,SV Elversberg,3,4,2,1,A
1575150,Bundesliga,2026,2026-09-05,1899 Hoffenheim,Borussia Dortmund,2,3,1,0,A
1575151,Bundesliga,2026,2026-09-05,Bayer Leverkusen,Union Berlin,4,0,2,0,H
1575157,Bundesliga,2026,2026-09-05,SC Paderborn 07,SC Freiburg,0,1,0,1,A
1575156,Bundesliga,2026,2026-09-05,FC Schalke 04,Bayern München,0,0,0,0,D
1575154,Bundesliga,2026,2026-09-06,Hamburger SV,FSV Mainz 05,0,5,0,2,A
1575152,Bundesliga,2026,2026-09-06,Eintracht Frankfurt,FC Augsburg,1,4,1,0,A
1575164,Bundesliga,2026,2026-09-11,Union Berlin,FC Schalke 04,1,3,0,1,A
1575161,Bundesliga,2026,2026-09-12,SC Freiburg,Borussia Mönchengladbach,5,0,2,0,H
1575163,Bundesliga,2026,2026-09-12,FSV Mainz 05,Eintracht Frankfurt,1,3,0,2,A
1575158,Bundesliga,2026,2026-09-12,Borussia Dortmund,SC Paderborn 07,3,0,1,0,H
1575160,Bundesliga,2026,2026-09-12,1899 Hoffenheim,VfB Stuttgart,2,1,1,0,H
1575162,Bundesliga,2026,2026-09-12,FC Augsburg,Bayer Leverkusen,2,2,0,1,D
1575165,Bundesliga,2026,2026-09-12,1. FC Köln,Werder Bremen,1,1,1,0,D
1575159,Bundesliga,2026,2026-09-13,RB Leipzig,Hamburger SV,5,0,2,0,H
1575166,Bundesliga,2026,2026-09-13,SV Elversberg,Bayern München,1,2,0,1,A
