league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
bundesliga_2,2026,2026-08-07,VfL Bochum,Hertha BSC,0,1,0,1,A
bundesliga_2,2026,2026-08-08,1. FC Magdeburg,Eintracht Braunschweig,1,6,0,4,A
bundesliga_2,2026,2026-08-08,1. FC Heidenheim,VfL Osnabrück,4,3,3,2,H
bundesliga_2,2026,2026-08-08,SV Darmstadt 98,Holstein Kiel,2,2,0,2,D
bundesliga_2,2026,2026-08-08,Karlsruher SC,Arminia Bielefeld,2,1,1,0,H
bundesliga_2,2026,2026-08-08,VfL Wolfsburg,1. FC Kaiserslautern,0,0,0,0,D
bundesliga_2,2026,2026-08-09,1. FC Nürnberg,Dynamo Dresden,3,0,2,0,H
bundesliga_2,2026,2026-08-09,FC St. Pauli,SpVgg Greuther Fürth,1,1,0,0,D
bundesliga_2,2026,2026-08-09,Energie Cottbus,Hannover 96,3,1,1,1,H
bundesliga_2,2026,2026-08-14,Holstein Kiel,FC St. Pauli,2,2,0,2,D
bundesliga_2,2026,2026-08-14,Eintracht Braunschweig,VfL Bochum,0,1,0,1,A
bundesliga_2,2026,2026-08-15,Hertha BSC,1. FC Heidenheim,4,1,3,0,H
bundesliga_2,2026,2026-08-15,SpVgg Greuther Fürth,1. FC Nürnberg,2,4,2,2,A
bundesliga_2,2026,2026-08-15,VfL Osnabrück,1. FC Magdeburg,0,3,0,2,A
bundesliga_2,2026,2026-08-15,1. FC Kaiserslautern,Karlsruher SC,0,0,0,0,D
bundesliga_2,2026,2026-08-16,Hannover 96,VfL Wolfsburg,0,1,0,0,A
bundesliga_2,2026,2026-08-16,Dynamo Dresden,SV Darmstadt 98,1,0,1,0,H
bundesliga_2,2026,2026-08-16,Arminia Bielefeld,Energie Cottbus,3,0,2,0,H
bundesliga_2,2026,2026-08-28,VfL Bochum,VfL Osnabrück,0,1,0,1,A
bundesliga_2,2026,2026-08-28,Eintracht Braunschweig,Hertha BSC,3,5,2,2,A
bundesliga_2,2026,2026-08-29,1. FC Heidenheim,Dynamo Dresden,5,3,0,1,H
bundesliga_2,2026,2026-08-29,Karlsruher SC,VfL Wolfsburg,2,5,2,3,A
bundesliga_2,2026,2026-08-29,Energie Cottbus,SpVgg Greuther Fürth,3,4,1,1,A
bundesliga_2,2026,2026-08-29,1. FC Nürnberg,Arminia Bielefeld,4,1,3,0,H
bundesliga_2,2026,2026-08-30,1. FC Magdeburg,Holstein Kiel,2,0,0,0,H
bundesliga_2,2026,2026-08-30,SV Darmstadt 98,Hannover 96,0,1,0,0,A
bundesliga_2,2026,2026-08-30,FC St. Pauli,1. FC Kaiserslautern,1,2,0,1,A
