league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
bresil,2026,2026-01-28,Internacional,Atletico Paranaense,0,1,0,1,A
bresil,2026,2026-01-28,Vitoria,Remo,2,0,0,0,H
bresil,2026,2026-01-28,Coritiba,RB Bragantino,0,1,0,0,A
bresil,2026,2026-01-28,Atletico-MG,Palmeiras,2,2,1,1,D
bresil,2026,2026-01-28,Fluminense,Gremio,2,1,0,0,H
bresil,2026,2026-01-28,Corinthians,Bahia,1,2,1,2,A
bresil,2026,2026-01-28,Chapecoense-sc,Santos,4,2,1,1,H
bresil,2026,2026-01-29,Sao Paulo,Flamengo,2,1,0,0,H
bresil,2026,2026-01-29,Mirassol,Vasco DA Gama,2,1,1,1,H
bresil,2026,2026-01-30,Botafogo,Cruzeiro,4,0,0,0,H
bresil,2026,2026-02-04,Flamengo,Internacional,1,1,0,1,D
bresil,2026,2026-02-04,RB Bragantino,Atletico-MG,1,0,1,0,H
bresil,2026,2026-02-04,Santos,Sao Paulo,1,1,1,0,D
bresil,2026,2026-02-04,Remo,Mirassol,2,2,2,0,D
bresil,2026,2026-02-05,Palmeiras,Vitoria,5,1,3,0,H
bresil,2026,2026-02-05,Gremio,Botafogo,5,3,1,2,H
bresil,2026,2026-02-05,Bahia,Fluminense,1,1,0,1,D
bresil,2026,2026-02-05,Vasco DA Gama,Chapecoense-sc,1,1,0,0,D
bresil,2026,2026-02-06,Cruzeiro,Coritiba,1,2,1,1,A
bresil,2026,2026-02-11,Vitoria,Flamengo,1,2,0,2,A
bresil,2026,2026-02-11,Chapecoense-sc,Coritiba,3,3,1,1,D
bresil,2026,2026-02-11,Mirassol,Cruzeiro,2,2,1,1,D
bresil,2026,2026-02-11,Atletico-MG,Remo,3,3,1,1,D
bresil,2026,2026-02-12,Sao Paulo,Gremio,2,0,1,0,H
bresil,2026,2026-02-12,Vasco DA Gama,Bahia,0,1,0,1,A
bresil,2026,2026-02-12,Atletico Paranaense,Santos,2,1,1,1,H
bresil,2026,2026-02-12,Fluminense,Botafogo,1,0,0,0,H
bresil,2026,2026-02-12,Corinthians,RB Bragantino,2,0,0,0,H
bresil,2026,2026-02-13,Internacional,Palmeiras,1,3,1,1,A
bresil,2026,2026-02-19,Atletico Paranaense,Corinthians,0,1,0,1,A
bresil,2026,2026-02-25,RB Bragantino,Atletico Paranaense,1,1,1,0,D
bresil,2026,2026-02-25,Remo,Internacional,1,1,1,1,D
bresil,2026,2026-02-25,Coritiba,Sao Paulo,0,1,0,0,A
bresil,2026,2026-02-25,Cruzeiro,Corinthians,1,1,1,0,D
bresil,2026,2026-02-26,Palmeiras,Fluminense,2,1,2,1,H
bresil,2026,2026-02-26,Gremio,Atletico-MG,2,1,0,0,H
bresil,2026,2026-02-26,Santos,Vasco DA Gama,2,1,1,1,H
bresil,2026,2026-03-11,Mirassol,Santos,2,2,1,0,D
bresil,2026,2026-03-11,Atletico-MG,Internacional,1,0,1,0,H
bresil,2026,2026-03-11,Bahia,Vitoria,1,1,1,1,D
bresil,2026,2026-03-12,Flamengo,Cruzeiro,2,0,1,0,H
bresil,2026,2026-03-12,Corinthians,Coritiba,0,2,0,1,A
bresil,2026,2026-03-12,Remo,Fluminense,0,2,0,1,A
bresil,2026,2026-03-12,Vasco DA Gama,Palmeiras,2,1,0,1,H
bresil,2026,2026-03-12,Sao Paulo,Chapecoense-sc,2,0,0,0,H
bresil,2026,2026-03-13,Gremio,RB Bragantino,1,1,1,0,D
bresil,2026,2026-03-14,Vitoria,Atletico-MG,2,0,1,0,H
bresil,2026,2026-03-14,Botafogo,Flamengo,0,3,0,2,A
bresil,2026,2026-03-15,Internacional,Bahia,0,1,0,1,A
bresil,2026,2026-03-15,Fluminense,Atletico Paranaense,3,2,2,1,H
bresil,2026,2026-03-15,Santos,Corinthians,1,1,1,1,D
bresil,2026,2026-03-15,Palmeiras,Mirassol,1,0,1,0,H
bresil,2026,2026-03-15,Coritiba,Remo,1,0,1,0,H
bresil,2026,2026-03-15,Cruzeiro,Vasco DA Gama,3,3,1,0,D
bresil,2026,2026-03-15,RB Bragantino,Sao Paulo,1,2,1,0,A
bresil,2026,2026-03-16,Chapecoense-sc,Gremio,1,1,1,1,D
bresil,2026,2026-03-18,Bahia,RB Bragantino,2,0,2,0,H
bresil,2026,2026-03-18,Palmeiras,Botafogo,2,1,1,0,H
bresil,2026,2026-03-18,Atletico Paranaense,Cruzeiro,2,1,2,0,H
bresil,2026,2026-03-18,Atletico-MG,Sao Paulo,1,0,0,0,H
bresil,2026,2026-03-18,Mirassol,Coritiba,0,1,0,0,A
bresil,2026,2026-03-19,Santos,Internacional,1,2,0,0,A
bresil,2026,2026-03-19,Vasco DA Gama,Fluminense,3,2,0,1,H
bresil,2026,2026-03-19,Gremio,Vitoria,2,0,1,0,H
bresil,2026,2026-03-19,Flamengo,Remo,3,0,1,0,H
bresil,2026,2026-03-20,Chapecoense-sc,Corinthians,0,0,0,0,D
bresil,2026,2026-03-21,RB Bragantino,Botafogo,1,2,1,1,A
bresil,2026,2026-03-21,Fluminense,Atletico-MG,1,0,1,0,H
bresil,2026,2026-03-22,Sao Paulo,Palmeiras,0,1,0,1,A
bresil,2026,2026-03-22,Vasco DA Gama,Gremio,2,1,2,1,H
bresil,2026,2026-03-22,Atletico Paranaense,Coritiba,2,0,1,0,H
bresil,2026,2026-03-22,Cruzeiro,Santos,0,0,0,0,D
bresil,2026,2026-03-22,Remo,Bahia,4,1,1,1,H
bresil,2026,2026-03-22,Internacional,Chapecoense-sc,2,0,1,0,H
bresil,2026,2026-03-22,Vitoria,Mirassol,1,0,1,0,H
bresil,2026,2026-03-22,Corinthians,Flamengo,1,1,1,1,D
