fixture_id,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1556628,ecosse,2026,2026-07-31,Dundee Utd,Rangers,1,1,1,0,D
1556629,ecosse,2026,2026-08-01,Falkirk,ST Mirren,0,2,0,1,A
1556630,ecosse,2026,2026-08-01,Aberdeen,Heart Of Midlothian,2,1,0,1,H
1556631,ecosse,2026,2026-08-02,ST Johnstone,Kilmarnock,4,3,1,1,H
1556632,ecosse,2026,2026-08-02,Hibernian,Motherwell,1,2,0,1,A
1556633,ecosse,2026,2026-08-03,Celtic,Dundee,1,0,0,0,H
1556637,ecosse,2026,2026-08-08,ST Mirren,ST Johnstone,1,0,0,0,H
1556634,ecosse,2026,2026-08-08,Dundee,Aberdeen,2,0,1,0,H
1556638,ecosse,2026,2026-08-09,Kilmarnock,Celtic,1,5,0,3,A
1556635,ecosse,2026,2026-08-09,Heart Of Midlothian,Dundee Utd,4,0,2,0,H
1556636,ecosse,2026,2026-08-09,Motherwell,Falkirk,0,0,0,0,D
1556639,ecosse,2026,2026-08-09,Rangers,Hibernian,1,2,0,1,A
1556640,ecosse,2026,2026-08-22,Dundee Utd,Dundee,0,2,0,1,A
1556647,ecosse,2026,2026-08-29,Celtic,Falkirk,2,1,2,0,H
1556650,ecosse,2026,2026-08-29,Kilmarnock,Dundee Utd,0,4,0,3,A
1556649,ecosse,2026,2026-08-29,Heart Of Midlothian,ST Johnstone,2,1,2,0,H
1556646,ecosse,2026,2026-08-30,Aberdeen,Rangers,0,1,0,0,A
1556651,ecosse,2026,2026-08-30,ST Mirren,Motherwell,3,3,3,2,D
1556648,ecosse,2026,2026-08-30,Dundee,Hibernian,1,2,0,1,A
1556652,ecosse,2026,2026-09-02,Celtic,Aberdeen,3,0,3,0,H
1556656,ecosse,2026,2026-09-02,Kilmarnock,ST Mirren,0,1,0,1,A
1556653,ecosse,2026,2026-09-02,Dundee,ST Johnstone,1,1,0,0,D
1556657,ecosse,2026,2026-09-02,Motherwell,Dundee Utd,3,0,1,0,H
1556654,ecosse,2026,2026-09-02,Falkirk,Rangers,1,2,1,1,A
1556655,ecosse,2026,2026-09-03,Hibernian,Heart Of Midlothian,1,3,0,2,A
1556658,ecosse,2026,2026-09-05,Aberdeen,Kilmarnock,0,0,0,0,D
1556661,ecosse,2026,2026-09-05,Rangers,Motherwell,1,0,1,0,H
1556659,ecosse,2026,2026-09-05,Dundee Utd,Falkirk,1,1,0,1,D
1556663,ecosse,2026,2026-09-05,ST Mirren,Celtic,1,2,1,0,A
1556660,ecosse,2026,2026-09-06,Heart Of Midlothian,Dundee,2,1,0,1,H
1556662,ecosse,2026,2026-09-06,ST Johnstone,Hibernian,2,1,2,1,H
1556644,ecosse,2026,2026-09-09,Rangers,ST Mirren,1,0,0,0,H
1556645,ecosse,2026,2026-09-09,ST Johnstone,Celtic,0,1,0,0,A
1556642,ecosse,2026,2026-09-15,Hibernian,Kilmarnock,0,1,0,1,A
1556643,ecosse,2026,2026-09-15,Motherwell,Aberdeen,0,4,0,1,A
1556641,ecosse,2026,2026-09-15,Falkirk,Heart Of Midlothian,2,1,1,1,H
