fixture_id,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1556828,ecosse_div_1,2026,2026-08-01,Livingston,Queen's Park,2,0,0,0,H
1556827,ecosse_div_1,2026,2026-08-01,Inverness CT,Dunfermline,0,0,0,0,D
1556829,ecosse_div_1,2026,2026-08-01,Morton,Partick,0,1,0,0,A
1556830,ecosse_div_1,2026,2026-08-01,Raith Rovers,Stenhousemuir,1,1,1,1,D
1556826,ecosse_div_1,2026,2026-08-01,Ayr Utd,Arbroath,2,0,1,0,H
1556831,ecosse_div_1,2026,2026-08-07,Partick,Livingston,2,0,2,0,H
1556833,ecosse_div_1,2026,2026-08-08,Dunfermline,Ayr Utd,1,1,1,1,D
1556832,ecosse_div_1,2026,2026-08-08,Arbroath,Inverness CT,0,0,0,0,D
1556834,ecosse_div_1,2026,2026-08-08,Queen's Park,Raith Rovers,1,2,0,1,A
1556835,ecosse_div_1,2026,2026-08-08,Stenhousemuir,Morton,2,0,0,0,H
1556836,ecosse_div_1,2026,2026-08-21,Inverness CT,Partick,1,1,0,1,D
1556837,ecosse_div_1,2026,2026-08-22,Livingston,Dunfermline,2,0,1,0,H
1556838,ecosse_div_1,2026,2026-08-22,Morton,Arbroath,1,2,0,1,A
1556840,ecosse_div_1,2026,2026-08-22,Raith Rovers,Ayr Utd,2,0,2,0,H
1556839,ecosse_div_1,2026,2026-08-22,Queen's Park,Stenhousemuir,0,2,0,0,A
1556843,ecosse_div_1,2026,2026-08-28,Dunfermline,Raith Rovers,1,0,0,0,H
1556844,ecosse_div_1,2026,2026-08-29,Partick,Queen's Park,0,0,0,0,D
1556842,ecosse_div_1,2026,2026-08-29,Ayr Utd,Morton,1,1,1,0,D
1556841,ecosse_div_1,2026,2026-08-29,Arbroath,Livingston,1,0,0,0,H
1556845,ecosse_div_1,2026,2026-08-29,Stenhousemuir,Inverness CT,3,1,1,0,H
1556848,ecosse_div_1,2026,2026-09-04,Livingston,Stenhousemuir,0,1,0,1,A
1556849,ecosse_div_1,2026,2026-09-05,Partick,Ayr Utd,1,0,1,0,H
1556847,ecosse_div_1,2026,2026-09-05,Inverness CT,Raith Rovers,0,2,0,1,A
1556846,ecosse_div_1,2026,2026-09-05,Arbroath,Dunfermline,1,1,0,0,D
1556850,ecosse_div_1,2026,2026-09-05,Queen's Park,Morton,2,1,1,1,H
1556853,ecosse_div_1,2026,2026-09-11,Morton,Livingston,1,4,0,2,A
1556854,ecosse_div_1,2026,2026-09-12,Raith Rovers,Arbroath,4,0,3,0,H
1556851,ecosse_div_1,2026,2026-09-12,Ayr Utd,Inverness CT,1,3,1,2,A
1556852,ecosse_div_1,2026,2026-09-12,Dunfermline,Queen's Park,2,0,2,0,H
1556855,ecosse_div_1,2026,2026-09-15,Stenhousemuir,Partick,1,0,0,0,H
