fixture_id,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1554368,champions_league,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,3,1,2,1,H
1554361,champions_league,2026,2026-07-07,Ararat-Armenia,Riga,2,0,0,0,H
1554366,champions_league,2026,2026-07-07,Kauno Žalgiris,Drita,1,1,1,0,D
1554371,champions_league,2026,2026-07-07,Sabah FA,The New Saints,2,0,0,0,H
1554373,champions_league,2026,2026-07-07,Vardar Skopje,KuPS,0,2,0,1,A
1554364,champions_league,2026,2026-07-07,Floriana,Shamrock Rovers,2,0,1,0,H
1554372,champions_league,2026,2026-07-07,Tre Fiori,Larne,0,1,0,1,A
1554362,champions_league,2026,2026-07-07,Borac Banja Luka,Levski Sofia,1,1,1,0,D
1554367,champions_league,2026,2026-07-07,KI Klaksvik,Atert Bissen,2,1,1,0,H
1554374,champions_league,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,1,0,0,0,H
1554365,champions_league,2026,2026-07-08,Kairat Almaty,Sutjeska,2,1,0,0,H
1554363,champions_league,2026,2026-07-08,Flora Tallinn,FC Iberia 1999,2,3,1,2,A
1554370,champions_league,2026,2026-07-08,Petrocub,Egnatia Rrogozhinë,1,1,1,1,D
1554369,champions_league,2026,2026-07-08,ML Vitebsk,Universitatea Craiova,1,4,1,3,A
1554380,champions_league,2026,2026-07-14,Inter Club d'Escaldes,Lincoln Red Imps FC,1,1,0,0,D
1554379,champions_league,2026,2026-07-14,FC Iberia 1999,Flora Tallinn,2,2,2,0,D
1554378,champions_league,2026,2026-07-14,Gyori ETO FC,Vikingur Reykjavik,2,2,2,1,D
1554384,champions_league,2026,2026-07-14,Riga,Ararat-Armenia,3,2,2,0,H
1554387,champions_league,2026,2026-07-14,The New Saints,Sabah FA,1,2,0,2,A
1554383,champions_league,2026,2026-07-14,Levski Sofia,Borac Banja Luka,4,0,0,0,H
1554376,champions_league,2026,2026-07-14,Drita,Kauno Žalgiris,2,3,1,1,A
1554385,champions_league,2026,2026-07-14,Shamrock Rovers,Floriana,5,1,2,1,H
1554382,champions_league,2026,2026-07-14,Larne,Tre Fiori,2,1,1,1,H
1554388,champions_league,2026,2026-07-15,Universitatea Craiova,ML Vitebsk,1,0,0,0,H
1554375,champions_league,2026,2026-07-15,Atert Bissen,KI Klaksvik,1,2,1,1,A
1554386,champions_league,2026,2026-07-15,Sutjeska,Kairat Almaty,0,2,0,0,A
1554377,champions_league,2026,2026-07-15,Egnatia Rrogozhinë,Petrocub,6,1,3,0,H
1589418,champions_league,2026,2026-07-21,Mjallby AIF,Lincoln Red Imps FC,3,0,3,0,H
1589416,champions_league,2026,2026-07-21,FC Iberia 1999,Slovan Bratislava,0,2,0,2,A
1589415,champions_league,2026,2026-07-21,Ararat-Armenia,Shamrock Rovers,2,0,0,0,H
1589419,champions_league,2026,2026-07-21,Sabah FA,KuPS,1,0,1,0,H
1556501,champions_league,2026,2026-07-21,Aarhus,Lech Poznan,1,4,0,2,A
1556502,champions_league,2026,2026-07-21,Fenerbahçe,Gornik Zabrze,1,0,1,0,H
1556504,champions_league,2026,2026-07-21,FC Thun,Dinamo Zagreb,1,1,1,0,D
1556503,champions_league,2026,2026-07-21,Sturm Graz,Heart Of Midlothian,4,0,1,0,H
1591934,champions_league,2026,2026-07-21,KI Klaksvik,Kauno Žalgiris,0,0,0,0,D
1589420,champions_league,2026,2026-07-21,Vikingur Reykjavik,Hapoel Beer Sheva,2,1,0,0,H
1589417,champions_league,2026,2026-07-21,Larne,FK Crvena Zvezda,0,4,0,1,A
1591936,champions_league,2026,2026-07-22,Omonia Nicosia,Kairat Almaty,1,0,1,0,H
1591935,champions_league,2026,2026-07-22,Levski Sofia,Universitatea Craiova,1,0,1,0,H
1591933,champions_league,2026,2026-07-22,Egnatia Rrogozhinë,Celje,3,3,1,1,D
1589423,champions_league,2026,2026-07-28,KuPS,Sabah FA,0,2,0,0,A
1589424,champions_league,2026,2026-07-28,Lincoln Red Imps FC,Mjallby AIF,0,0,0,0,D
