league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
secunda,2026,2026-08-14,Real Sociedad II,Castellón,0,1,0,1,A
secunda,2026,2026-08-15,FC Andorra,AD Ceuta FC,5,1,1,0,H
secunda,2026,2026-08-15,Oviedo,Granada CF,0,0,0,0,D
secunda,2026,2026-08-15,Cadiz,Celta de Vigo II,0,0,0,0,D
secunda,2026,2026-08-15,Mallorca,Valladolid,2,0,0,0,H
secunda,2026,2026-08-16,Eibar,Tenerife,1,3,1,2,A
secunda,2026,2026-08-16,Girona,Leganes,1,1,0,0,D
secunda,2026,2026-08-16,Burgos,Cordoba,3,2,2,2,H
secunda,2026,2026-08-16,Las Palmas,Albacete,2,1,1,0,H
secunda,2026,2026-08-17,Sporting Gijon,Sabadell,0,0,0,0,D
secunda,2026,2026-08-17,Almeria,Eldense,3,0,3,0,H
secunda,2026,2026-08-21,Cordoba,Girona,2,1,2,0,H
secunda,2026,2026-08-22,Oviedo,Leganes,0,1,0,1,A
secunda,2026,2026-08-22,Albacete,Real Sociedad II,1,2,0,2,A
secunda,2026,2026-08-22,AD Ceuta FC,Las Palmas,0,2,0,1,A
secunda,2026,2026-08-22,Eldense,Cadiz,2,2,0,0,D
secunda,2026,2026-08-23,Eibar,Valladolid,1,0,0,0,H
secunda,2026,2026-08-23,Sporting Gijon,Burgos,1,0,1,0,H
secunda,2026,2026-08-23,Castellón,Sabadell,0,0,0,0,D
secunda,2026,2026-08-23,Tenerife,Almeria,1,0,1,0,H
secunda,2026,2026-08-24,Celta de Vigo II,FC Andorra,4,2,0,0,H
secunda,2026,2026-08-24,Granada CF,Mallorca,2,0,1,0,H
secunda,2026,2026-08-28,Tenerife,Sporting Gijon,0,1,0,0,A
secunda,2026,2026-08-29,Sabadell,Almeria,1,0,0,0,H
secunda,2026,2026-08-29,Leganes,Eldense,1,0,0,0,H
secunda,2026,2026-08-29,Albacete,Oviedo,0,1,0,1,A
secunda,2026,2026-08-29,Girona,Las Palmas,5,2,1,0,H
secunda,2026,2026-08-30,FC Andorra,Eibar,0,1,0,0,A
secunda,2026,2026-08-30,Cadiz,Valladolid,1,1,1,1,D
secunda,2026,2026-08-30,Mallorca,AD Ceuta FC,3,0,1,0,H
secunda,2026,2026-08-30,Cordoba,Granada CF,1,3,1,0,A
secunda,2026,2026-08-31,Burgos,Real Sociedad II,2,2,1,1,D
secunda,2026,2026-08-31,Celta de Vigo II,Castellón,1,2,0,1,A
