fixture_id,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1563083,Championship,2026,2026-08-14,Wolves,Blackburn,2,2,1,1,D
1563084,Championship,2026,2026-08-15,Bolton,Preston,2,1,2,0,H
1563085,Championship,2026,2026-08-15,Bristol City,Millwall,0,2,0,1,A
1563087,Championship,2026,2026-08-15,Middlesbrough,Lincoln,2,1,0,1,H
1563088,Championship,2026,2026-08-15,Norwich,West Brom,1,2,0,0,A
1563090,Championship,2026,2026-08-15,Stoke City,Swansea,1,2,1,1,A
1563086,Championship,2026,2026-08-15,Charlton,Derby,2,1,0,1,H
1563089,Championship,2026,2026-08-15,Portsmouth,QPR,1,3,1,3,A
1563091,Championship,2026,2026-08-15,Sheffield Utd,Birmingham,0,0,0,0,D
1563092,Championship,2026,2026-08-16,Watford,Southampton,2,1,2,0,H
1563093,Championship,2026,2026-08-16,Burnley,West Ham,2,2,0,1,D
1563094,Championship,2026,2026-08-17,Cardiff,Wrexham,1,1,0,1,D
1563095,Championship,2026,2026-08-22,Birmingham,Bristol City,2,2,1,1,D
1563099,Championship,2026,2026-08-22,Millwall,Norwich,3,0,1,0,H
1563098,Championship,2026,2026-08-22,Lincoln,Portsmouth,1,3,1,2,A
1563102,Championship,2026,2026-08-22,Southampton,Stoke City,3,1,1,1,H
1563105,Championship,2026,2026-08-22,West Ham,Charlton,1,2,0,1,A
1563100,Championship,2026,2026-08-22,Preston,Wolves,1,3,0,1,A
1563096,Championship,2026,2026-08-22,Blackburn,Middlesbrough,2,1,0,1,H
1563097,Championship,2026,2026-08-22,Derby,Cardiff,2,2,1,2,D
1563101,Championship,2026,2026-08-22,QPR,Bolton,0,0,0,0,D
1563103,Championship,2026,2026-08-22,Swansea,Sheffield Utd,0,0,0,0,D
1563106,Championship,2026,2026-08-22,Wrexham,Watford,1,1,1,1,D
1563104,Championship,2026,2026-08-23,West Brom,Burnley,3,1,1,1,H
1563118,Championship,2026,2026-08-28,Wrexham,Birmingham,1,2,0,1,A
1563117,Championship,2026,2026-08-29,Wolves,Stoke City,4,1,2,1,H
1563112,Championship,2026,2026-08-29,Derby,Swansea,0,3,0,2,A
1563113,Championship,2026,2026-08-29,Middlesbrough,West Brom,3,1,0,0,H
1563116,Championship,2026,2026-08-29,Watford,West Ham,1,1,1,1,D
1563115,Championship,2026,2026-08-29,Southampton,Millwall,5,1,2,1,H
1563110,Championship,2026,2026-08-29,Cardiff,Sheffield Utd,2,2,2,2,D
1563109,Championship,2026,2026-08-29,Bristol City,Portsmouth,2,1,1,0,H
1563107,Championship,2026,2026-08-29,Blackburn,QPR,1,2,0,0,A
1563108,Championship,2026,2026-08-29,Bolton,Lincoln,0,1,0,0,A
1563114,Championship,2026,2026-08-29,Norwich,Burnley,4,1,3,1,H
1563111,Championship,2026,2026-08-29,Charlton,Preston,1,0,0,0,H
1563126,Championship,2026,2026-09-01,West Ham,Wolves,4,2,2,1,H
1563122,Championship,2026,2026-09-01,Preston,Bristol City,1,3,0,1,A
1563123,Championship,2026,2026-09-01,Sheffield Utd,Bolton,3,2,1,1,H
1563125,Championship,2026,2026-09-01,Swansea,Watford,2,0,2,0,H
1563121,Championship,2026,2026-09-01,Portsmouth,Derby,0,2,0,1,A
1563120,Championship,2026,2026-09-01,Lincoln,Blackburn,0,0,0,0,D
1563119,Championship,2026,2026-09-01,Birmingham,Southampton,1,1,0,1,D
1563124,Championship,2026,2026-09-01,Stoke City,Norwich,1,0,1,0,H
1563128,Championship,2026,2026-09-02,Millwall,Wrexham,0,3,0,1,A
1563130,Championship,2026,2026-09-02,West Brom,Charlton,1,1,0,0,D
1563129,Championship,2026,2026-09-02,QPR,Cardiff,2,1,1,0,H
1563127,Championship,2026,2026-09-02,Burnley,Middlesbrough,1,1,0,1,D
1563136,Championship,2026,2026-09-05,Preston,Blackburn,2,1,2,0,H
1563139,Championship,2026,2026-09-05,Stoke City,Charlton,4,0,4,0,H
