league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Serie A,2026,2026-08-22,Udinese,Como,1,1,1,0,D
Serie A,2026,2026-08-22,Inter,Monza,4,1,1,1,H
Serie A,2026,2026-08-22,Genoa,Napoli,0,2,0,0,A
Serie A,2026,2026-08-22,Parma,Cagliari,0,1,0,0,A
Serie A,2026,2026-08-23,Frosinone,Juventus,0,1,0,1,A
Serie A,2026,2026-08-23,Venezia,Lecce,0,2,0,0,A
Serie A,2026,2026-08-23,Atalanta,Sassuolo,2,1,1,0,H
Serie A,2026,2026-08-23,Torino,AC Milan,1,2,0,0,A
Serie A,2026,2026-08-24,Bologna,Lazio,0,1,0,0,A
Serie A,2026,2026-08-24,AS Roma,Fiorentina,4,0,1,0,H
Serie A,2026,2026-08-28,AC Milan,Venezia,2,0,0,0,H
Serie A,2026,2026-08-29,Sassuolo,Torino,2,1,1,1,H
Serie A,2026,2026-08-29,Fiorentina,Frosinone,0,3,0,2,A
Serie A,2026,2026-08-29,Monza,Udinese,2,3,1,3,A
Serie A,2026,2026-08-29,Juventus,Parma,2,0,0,0,H
Serie A,2026,2026-08-30,Napoli,Como,1,2,1,2,A
Serie A,2026,2026-08-30,Lazio,Genoa,1,0,1,0,H
Serie A,2026,2026-08-30,Cagliari,Inter,0,1,0,1,A
Serie A,2026,2026-08-31,Lecce,AS Roma,0,4,0,3,A
Serie A,2026,2026-08-31,Atalanta,Bologna,1,0,0,0,H
Serie A,2026,2026-09-04,Genoa,Como,1,4,1,3,A
Serie A,2026,2026-09-05,Fiorentina,Torino,1,2,0,0,A
Serie A,2026,2026-09-05,Inter,Napoli,3,2,0,0,H
Serie A,2026,2026-09-05,AS Roma,Atalanta,2,1,0,0,H
Serie A,2026,2026-09-06,Frosinone,Venezia,3,2,2,0,H
Serie A,2026,2026-09-06,Parma,Monza,1,1,0,1,D
Serie A,2026,2026-09-06,Bologna,Sassuolo,2,2,0,1,D
Serie A,2026,2026-09-06,Juventus,AC Milan,1,1,0,0,D
Serie A,2026,2026-09-07,Cagliari,Lecce,1,0,1,0,H
Serie A,2026,2026-09-07,Udinese,Lazio,1,2,0,0,A
