league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Suisse,2026,2026-07-25,Lausanne,Grasshoppers,1,1,1,0,D
Suisse,2026,2026-07-25,Servette FC,FC Basel 1893,0,1,0,0,A
Suisse,2026,2026-07-25,FC Luzern,FC Thun,1,3,1,1,A
Suisse,2026,2026-07-26,BSC Young Boys,FC Sion,4,2,2,1,H
Suisse,2026,2026-07-26,FC Lugano,FC Vaduz,2,1,2,0,H
Suisse,2026,2026-07-26,FC ST. Gallen,FC Zurich,2,1,0,0,H
Suisse,2026,2026-08-01,FC Basel 1893,Lausanne,0,1,0,0,A
Suisse,2026,2026-08-01,FC Zurich,Servette FC,2,1,1,0,H
Suisse,2026,2026-08-01,FC Thun,BSC Young Boys,0,6,0,3,A
Suisse,2026,2026-08-02,FC Vaduz,FC ST. Gallen,2,3,1,1,A
Suisse,2026,2026-08-02,FC Sion,FC Luzern,3,0,1,0,H
Suisse,2026,2026-08-02,Grasshoppers,FC Lugano,1,4,1,0,A
Suisse,2026,2026-08-08,Lausanne,BSC Young Boys,2,2,0,0,D
Suisse,2026,2026-08-08,Servette FC,Grasshoppers,2,1,1,1,H
Suisse,2026,2026-08-09,FC Lugano,FC Zurich,5,0,2,0,H
Suisse,2026,2026-08-09,FC Basel 1893,FC Thun,4,2,2,0,H
Suisse,2026,2026-08-09,FC Sion,FC Vaduz,3,2,1,2,H
Suisse,2026,2026-08-09,FC ST. Gallen,FC Luzern,2,2,1,0,D
Suisse,2026,2026-08-22,FC Luzern,Lausanne,1,0,1,0,H
Suisse,2026,2026-08-22,FC Zurich,FC Basel 1893,1,2,1,0,A
Suisse,2026,2026-08-23,BSC Young Boys,FC Vaduz,4,2,2,2,H
Suisse,2026,2026-08-29,Lausanne,FC Zurich,2,3,1,0,A
Suisse,2026,2026-08-29,Servette FC,FC Luzern,1,1,1,1,D
Suisse,2026,2026-08-29,BSC Young Boys,FC Basel 1893,3,3,3,2,D
Suisse,2026,2026-08-30,FC Sion,FC Lugano,1,2,0,1,A
Suisse,2026,2026-08-30,FC Vaduz,Grasshoppers,5,2,2,2,H
Suisse,2026,2026-08-30,FC ST. Gallen,FC Thun,3,4,0,1,A
Suisse,2026,2026-09-01,FC Zurich,BSC Young Boys,2,4,1,2,A
Suisse,2026,2026-09-02,FC Luzern,FC Vaduz,2,1,0,0,H
Suisse,2026,2026-09-02,FC Thun,Lausanne,0,0,0,0,D
Suisse,2026,2026-09-02,Grasshoppers,FC ST. Gallen,2,0,1,0,H
